date	open	high	low	close	volume	symbol
2013-03-01	0.79	0.8	0.7	0.73	95791	NASDAQ:ADMP
2013-03-04	0.7	0.72	0.61	0.67	223135	NASDAQ:ADMP
2013-03-05	0.68	0.68	0.63	0.65	46192	NASDAQ:ADMP
2013-03-06	0.67	0.68	0.6	0.67	133273	NASDAQ:ADMP
2013-03-07	0.66	0.66	0.63	0.63	71556	NASDAQ:ADMP
2013-03-08	0.66	0.66	0.6	0.64	86769	NASDAQ:ADMP
2013-03-11	0.66	0.66	0.62	0.63	50350	NASDAQ:ADMP
2013-03-12	0.65	0.66	0.61	0.61	24409	NASDAQ:ADMP
2013-03-13	0.62	0.63	0.6	0.63	80491	NASDAQ:ADMP
2013-03-14	0.62	0.64	0.6	0.61	71173	NASDAQ:ADMP
2013-03-15	0.61	0.64	0.6	0.63	51845	NASDAQ:ADMP
2013-03-18	0.62	0.62	0.59	0.59	59150	NASDAQ:ADMP
2013-03-19	0.59	0.62	0.57	0.59	39100	NASDAQ:ADMP
2013-03-20	0.6	0.6	0.58	0.58	56935	NASDAQ:ADMP
2013-03-21	0.58	0.6	0.58	0.59	13366	NASDAQ:ADMP
2013-03-22	0.62	0.65	0.6	0.64	105608	NASDAQ:ADMP
2013-03-25	0.64	0.67	0.64	0.67	130800	NASDAQ:ADMP
2013-03-26	0.66	0.71	0.65	0.65	47799	NASDAQ:ADMP
2013-03-27	0.65	0.67	0.61	0.67	205419	NASDAQ:ADMP
2013-03-28	0.66	0.66	0.64	0.66	11630	NASDAQ:ADMP
2013-04-01	0.67	0.68	0.65	0.67	13270	NASDAQ:ADMP
2013-04-02	0.67	0.67	0.6	0.65	9973	NASDAQ:ADMP
2013-04-03	0.64	0.65	0.62	0.65	21970	NASDAQ:ADMP
2013-04-04	0.64	0.65	0.62	0.65	13960	NASDAQ:ADMP
2013-04-05	0.65	0.69	0.63	0.63	64597	NASDAQ:ADMP
2013-04-08	0.65	0.66	0.62	0.64	54875	NASDAQ:ADMP
2013-04-09	0.67	0.67	0.62	0.62	14100	NASDAQ:ADMP
2013-04-10	0.62	0.65	0.61	0.64	54948	NASDAQ:ADMP
2013-04-11	0.64	0.64	0.64	0.64	3600	NASDAQ:ADMP
2013-04-12	0.64	0.64	0.61	0.64	21171	NASDAQ:ADMP
