date	open	high	low	close	volume	symbol
2013-03-01	57.25	57.41	56.64	56.99	875439	NASDAQ:AMCX
2013-03-04	56.72	57.51	56.71	57.14	759972	NASDAQ:AMCX
2013-03-05	57.33	58.38	57.15	58.25	704649	NASDAQ:AMCX
2013-03-06	58.48	59.39	58.46	58.7	616498	NASDAQ:AMCX
2013-03-07	58.62	59.18	57.98	58.86	410510	NASDAQ:AMCX
2013-03-08	59.21	59.48	58.36	59.27	426751	NASDAQ:AMCX
2013-03-11	59.46	60.4	59.11	59.85	796438	NASDAQ:AMCX
2013-03-12	58.98	59.67	58.84	59.25	597508	NASDAQ:AMCX
2013-03-13	59.17	59.67	58.98	59.29	397918	NASDAQ:AMCX
2013-03-14	59.42	59.84	59.11	59.74	408874	NASDAQ:AMCX
2013-03-15	59.93	61.65	59.74	61.31	1340110	NASDAQ:AMCX
2013-03-18	60.98	61.92	60.36	61.7	708369	NASDAQ:AMCX
2013-03-19	62.73	62.81	60.65	61.07	509166	NASDAQ:AMCX
2013-03-20	61.46	61.96	61.1	61.31	355963	NASDAQ:AMCX
2013-03-21	61.01	61.68	60.73	60.88	380181	NASDAQ:AMCX
2013-03-22	61.2	62.34	61.2	61.78	441272	NASDAQ:AMCX
2013-03-25	62.16	62.52	61.87	62.31	500559	NASDAQ:AMCX
2013-03-26	62.31	62.8	62.15	62.68	493687	NASDAQ:AMCX
2013-03-27	62.25	63.04	62.22	62.76	601653	NASDAQ:AMCX
2013-03-28	62.4	63.26	62.32	63.22	518402	NASDAQ:AMCX
2013-04-01	63.02	63.11	61.7	61.86	471174	NASDAQ:AMCX
2013-04-02	62.24	62.3	61.36	61.67	400234	NASDAQ:AMCX
2013-04-03	61.79	61.79	59.56	60.46	613388	NASDAQ:AMCX
2013-04-04	60.48	62.59	60.06	62.54	435667	NASDAQ:AMCX
2013-04-05	61.85	63.33	61.85	63.24	493162	NASDAQ:AMCX
2013-04-08	62.88	64.34	62.77	64.33	221830	NASDAQ:AMCX
2013-04-09	65.28	65.28	63.97	64.61	621477	NASDAQ:AMCX
2013-04-10	64.64	66.13	64.64	65.04	617915	NASDAQ:AMCX
2013-04-11	65	65.33	64.77	65.28	374537	NASDAQ:AMCX
2013-04-12	65.61	66.04	65.15	65.82	504367	NASDAQ:AMCX
2013-04-15	65.7	65.76	63.98	64.26	371906	NASDAQ:AMCX
2013-04-16	64.63	65.4	64.41	65.34	504914	NASDAQ:AMCX
2013-04-17	65.48	66.04	63.86	64.71	521882	NASDAQ:AMCX
2013-04-18	65.26	65.46	62.86	63.28	358403	NASDAQ:AMCX
2013-04-19	63.45	64.5	63.33	64.07	400380	NASDAQ:AMCX
2013-04-22	64.05	64.97	63.93	64.7	370644	NASDAQ:AMCX
2013-04-23	65.02	66.26	64.82	65.85	656396	NASDAQ:AMCX
2013-04-24	65.41	65.72	63.64	64	597299	NASDAQ:AMCX
2013-04-25	63.81	64.17	63.08	63.41	697686	NASDAQ:AMCX
2013-04-26	63.06	63.72	63.06	63.43	470406	NASDAQ:AMCX
2013-04-29	63.26	63.94	63.06	63.65	254100	NASDAQ:AMCX
2013-04-30	63.79	63.89	62.7	63.01	434545	NASDAQ:AMCX
2013-05-01	62.82	63.88	62.52	63.17	572954	NASDAQ:AMCX
2013-05-02	63.17	64.43	62.76	63.43	483618	NASDAQ:AMCX
2013-05-03	63.3	64.88	63.06	64.02	902548	NASDAQ:AMCX
2013-05-06	64	64.48	63.94	64.2	479557	NASDAQ:AMCX
2013-05-07	64.14	65.56	64.02	65.1	668401	NASDAQ:AMCX
2013-05-08	65.11	65.71	64	64.65	875036	NASDAQ:AMCX
2013-05-09	67.36	70.65	65.75	66.44	1791288	NASDAQ:AMCX
2013-05-10	66.44	66.84	65.69	66.64	706882	NASDAQ:AMCX
2013-05-13	66.65	66.92	65.73	66.39	437257	NASDAQ:AMCX
2013-05-14	66.73	66.89	65.99	66.4	661974	NASDAQ:AMCX
