date	open	high	low	close	volume	symbol
2015-06-19	20.75	21.15	20.21	20.49	14165758	NASDAQ:CAFD
2015-06-22	20.64	20.84	20.55	20.68	1047207	NASDAQ:CAFD
2015-06-23	20.84	20.88	20.41	20.5	1257932	NASDAQ:CAFD
2015-06-24	20.42	20.72	20.3	20.31	1048709	NASDAQ:CAFD
2015-06-25	20.7	20.7	19.99	20	1990004	NASDAQ:CAFD
2015-06-26	20.38	20.38	19.65	19.69	1210567	NASDAQ:CAFD
2015-06-29	19.55	20.39	19.05	19.18	613929	NASDAQ:CAFD
2015-06-30	19.06	19.51	18.33	18.62	1219545	NASDAQ:CAFD
2015-07-01	18.65	18.94	18.08	18.19	725767	NASDAQ:CAFD
2015-07-02	18.49	18.49	17.98	18.05	235725	NASDAQ:CAFD
2015-07-06	18	18.29	18	18.03	313968	NASDAQ:CAFD
2015-07-07	18.07	18.25	17.94	18.16	433350	NASDAQ:CAFD
2015-07-08	18.16	18.86	17.87	17.88	498761	NASDAQ:CAFD
2015-07-09	19	19	17.75	17.9	814087	NASDAQ:CAFD
2015-07-10	17.99	18.48	17.88	18.04	267280	NASDAQ:CAFD
2015-07-13	18.1	18.18	17.92	18.07	306215	NASDAQ:CAFD
2015-07-14	18.1	18.25	17.75	17.75	888879	NASDAQ:CAFD
2015-07-15	17.6	17.82	17.3	17.38	279743	NASDAQ:CAFD
2015-07-16	17.43	17.72	17.25	17.29	295285	NASDAQ:CAFD
2015-07-17	17.5	17.6	17.25	17.4	522781	NASDAQ:CAFD
2015-07-20	17.5	17.89	17.46	17.47	316359	NASDAQ:CAFD
2015-07-21	17.63	17.7	17.14	17.16	317226	NASDAQ:CAFD
2015-07-22	17.1	17.45	16.75	16.81	430482	NASDAQ:CAFD
2015-07-23	16.9	17	16.6	16.82	256585	NASDAQ:CAFD
2015-07-24	16.9	16.9	16.26	16.37	480361	NASDAQ:CAFD
2015-07-27	16.38	17.03	16.14	16.91	627710	NASDAQ:CAFD
2015-07-28	17.16	17.3	16.43	17.02	497871	NASDAQ:CAFD
2015-07-29	17	17.19	16.87	16.98	132177	NASDAQ:CAFD
2015-07-30	16.92	17.18	15.91	16.11	789106	NASDAQ:CAFD
2015-07-31	15.91	16.93	15.83	15.92	327162	NASDAQ:CAFD
2015-08-03	15.86	16.3	15.36	15.51	240900	NASDAQ:CAFD
2015-08-04	15.72	15.84	14.72	14.9	349116	NASDAQ:CAFD
2015-08-05	15.25	16.46	15.24	16.23	569285	NASDAQ:CAFD
2015-08-06	16.31	16.31	14.52	14.53	442624	NASDAQ:CAFD
2015-08-07	14.43	15.76	13.75	14.1	978092	NASDAQ:CAFD
2015-08-10	14.1	15.23	13.7	14.74	874541	NASDAQ:CAFD
2015-08-11	14.49	14.88	14.03	14.22	422017	NASDAQ:CAFD
2015-08-12	14.92	15.83	14.25	15.6	1366210	NASDAQ:CAFD
2015-08-13	15.66	17.6	15.5	15.98	894768	NASDAQ:CAFD
2015-08-14	15.82	16.47	15.58	15.77	338127	NASDAQ:CAFD
2015-08-17	15.79	16.21	15.53	15.63	109416	NASDAQ:CAFD
2015-08-18	15.73	15.8	15.05	15.31	270530	NASDAQ:CAFD
2015-08-19	15.73	15.79	14.81	15.67	274074	NASDAQ:CAFD
2015-08-20	15.6	15.92	15.25	15.7	440872	NASDAQ:CAFD
2015-08-21	15.41	15.81	14.99	15.52	602508	NASDAQ:CAFD
2015-08-24	14.75	15.39	14.43	14.53	657490	NASDAQ:CAFD
2015-08-25	14.97	15.71	14.09	14.18	1559443	NASDAQ:CAFD
2015-08-26	14.34	14.66	13.41	14.21	703455	NASDAQ:CAFD
2015-08-27	14.45	14.9	14.16	14.23	731566	NASDAQ:CAFD
2015-08-28	14.31	15.45	14.2	14.91	437088	NASDAQ:CAFD
2015-08-31	14.83	15.2	14.77	14.85	228239	NASDAQ:CAFD
2015-09-01	14.29	14.74	14.25	14.72	310727	NASDAQ:CAFD
2015-09-02	14.62	14.92	14.62	14.9	308767	NASDAQ:CAFD
2015-09-03	14.77	15.45	14.77	14.99	538811	NASDAQ:CAFD
2015-09-04	14.84	15.2	14.7	14.79	394937	NASDAQ:CAFD
2015-09-08	14.79	14.95	14.13	14.24	197168	NASDAQ:CAFD
2015-09-09	14.09	14.65	14.02	14.1	186345	NASDAQ:CAFD
