date	open	high	low	close	volume	symbol
2013-03-01	8.93	8.93	8.93	8.93	892	NASDAQ:FCCY
2013-03-04	9.05	9.05	9.05	9.05	1600	NASDAQ:FCCY
2013-03-05	9.04	9.04	8.99	8.99	1787	NASDAQ:FCCY
2013-03-06	9	9.01	8.8	8.89	21020	NASDAQ:FCCY
2013-03-08	8.88	8.9	8.88	8.9	400	NASDAQ:FCCY
2013-03-11	8.8	9	8.8	9	400	NASDAQ:FCCY
2013-03-13	8.85	8.85	8.85	8.85	200	NASDAQ:FCCY
2013-03-14	8.91	8.92	8.9	8.9	1457	NASDAQ:FCCY
2013-03-15	8.99	9	8.95	8.99	10950	NASDAQ:FCCY
2013-03-18	8.9	8.9	8.76	8.76	1609	NASDAQ:FCCY
2013-03-19	8.93	8.95	8.78	8.78	2808	NASDAQ:FCCY
2013-03-22	8.82	8.82	8.82	8.82	100	NASDAQ:FCCY
2013-03-25	8.76	8.89	8.76	8.89	1311	NASDAQ:FCCY
2013-03-26	8.89	8.89	8.89	8.89	460	NASDAQ:FCCY
2013-03-27	8.76	8.79	8.76	8.79	300	NASDAQ:FCCY
2013-03-28	8.78	8.78	8.67	8.67	15203	NASDAQ:FCCY
2013-04-01	8.75	8.99	8.75	8.99	2350	NASDAQ:FCCY
2013-04-02	8.8	8.8	8.8	8.8	1583	NASDAQ:FCCY
2013-04-03	8.76	8.81	8.76	8.81	605	NASDAQ:FCCY
2013-04-04	8.84	8.84	8.84	8.84	100	NASDAQ:FCCY
2013-04-05	8.77	8.77	8.77	8.77	123	NASDAQ:FCCY
2013-04-08	8.79	8.81	8.76	8.79	1423	NASDAQ:FCCY
2013-04-09	8.85	8.85	8.85	8.85	100	NASDAQ:FCCY
2013-04-10	8.86	8.86	8.86	8.86	100	NASDAQ:FCCY
2013-04-11	8.76	8.76	8.76	8.76	2700	NASDAQ:FCCY
2013-04-12	8.78	8.78	8.78	8.78	100	NASDAQ:FCCY
2013-04-15	8.78	8.79	8.75	8.79	1800	NASDAQ:FCCY
2013-04-16	8.75	8.75	8.75	8.75	13100	NASDAQ:FCCY
2013-04-17	8.7	8.95	8.7	8.88	1674	NASDAQ:FCCY
2013-04-19	8.75	8.75	8.75	8.75	6000	NASDAQ:FCCY
2013-04-22	8.8	8.8	8.72	8.72	840	NASDAQ:FCCY
2013-04-23	8.7	8.7	8.5	8.65	15632	NASDAQ:FCCY
2013-04-25	8.57	8.57	8.57	8.57	300	NASDAQ:FCCY
2013-04-26	8.75	8.75	8.73	8.75	2300	NASDAQ:FCCY
2013-04-29	8.72	8.72	8.6	8.6	2780	NASDAQ:FCCY
2013-04-30	8.5	8.67	8.5	8.67	1631	NASDAQ:FCCY
2013-05-01	8.6	8.65	8.6	8.65	1000	NASDAQ:FCCY
2013-05-03	8.72	8.77	8.72	8.77	1500	NASDAQ:FCCY
2013-05-06	8.84	8.95	8.84	8.94	992	NASDAQ:FCCY
2013-05-07	8.94	8.94	8.94	8.94	300	NASDAQ:FCCY
2013-05-09	8.82	9	8.81	8.97	9658	NASDAQ:FCCY
2013-05-10	8.95	9.09	8.9	9.08	3400	NASDAQ:FCCY
2013-05-13	8.8	9.06	8.8	9.06	294	NASDAQ:FCCY
2013-05-14	8.82	8.83	8.8	8.8	3000	NASDAQ:FCCY
2013-05-15	9.09	9.09	8.9	9	11064	NASDAQ:FCCY
2013-05-16	9.09	9.09	8.9	8.9	10108	NASDAQ:FCCY
2013-05-17	8.9	8.92	8.86	8.86	13504	NASDAQ:FCCY
2013-05-20	8.87	8.9	8.87	8.9	700	NASDAQ:FCCY
2013-05-21	8.96	8.96	8.81	8.81	2199	NASDAQ:FCCY
2013-05-22	8.92	8.95	8.92	8.95	577	NASDAQ:FCCY
2013-05-23	8.99	9	8.95	9	4262	NASDAQ:FCCY
2013-05-24	9.05	9.25	8.95	9.25	9423	NASDAQ:FCCY
2013-05-28	8.81	9.22	8.81	9.22	1300	NASDAQ:FCCY
2013-05-29	9.21	9.22	9.18	9.22	2099	NASDAQ:FCCY
2013-05-30	9.2	9.24	9.2	9.23	700	NASDAQ:FCCY
2013-05-31	9.2	9.2	9.2	9.2	7060	NASDAQ:FCCY
2013-06-03	9.21	9.24	9	9.12	2410	NASDAQ:FCCY
2013-06-04	9.12	9.21	9.12	9.2	3100	NASDAQ:FCCY
2013-06-05	9.1	9.24	9.1	9.21	1362	NASDAQ:FCCY
2013-06-06	9.03	9.26	9.03	9.2	5679	NASDAQ:FCCY
2013-06-07	9.25	9.25	9.16	9.24	1500	NASDAQ:FCCY
2013-06-10	9.24	9.24	8.93	8.98	12583	NASDAQ:FCCY
2013-06-11	9.16	9.2	8.95	9.04	10713	NASDAQ:FCCY
2013-06-12	9.16	9.21	9.16	9.17	2747	NASDAQ:FCCY
2013-06-13	9.19	9.2	9.19	9.2	1602	NASDAQ:FCCY
2013-06-14	9.2	9.3	9.2	9.22	4376	NASDAQ:FCCY
2013-06-17	9.21	9.23	9.2	9.22	2984	NASDAQ:FCCY
2013-06-18	9.34	9.48	9.2	9.29	15555	NASDAQ:FCCY
2013-06-19	9.25	9.47	9.25	9.47	494	NASDAQ:FCCY
2013-06-20	9.37	9.37	9.35	9.36	1100	NASDAQ:FCCY
2013-06-21	9.35	9.5	9.35	9.5	26989	NASDAQ:FCCY
2013-06-24	9.67	9.67	9.25	9.25	6079	NASDAQ:FCCY
2013-06-25	9.48	9.5	9.31	9.31	2250	NASDAQ:FCCY
2013-06-26	9.26	9.26	9.26	9.26	300	NASDAQ:FCCY
2013-06-28	9.26	9.5	9.26	9.5	700	NASDAQ:FCCY
2013-07-02	9.5	9.5	9.5	9.5	5100	NASDAQ:FCCY
2013-07-03	9.72	9.75	9.72	9.75	1920	NASDAQ:FCCY
2013-07-05	9.74	9.74	9.66	9.66	400	NASDAQ:FCCY
2013-07-08	9.75	9.89	9.59	9.78	1709	NASDAQ:FCCY
2013-07-09	9.83	9.83	9.74	9.78	1900	NASDAQ:FCCY
2013-07-10	9.79	9.79	9.28	9.28	3276	NASDAQ:FCCY
2013-07-11	9.38	9.52	9.3	9.3	500	NASDAQ:FCCY
2013-07-12	9.5	9.53	9.5	9.53	700	NASDAQ:FCCY
2013-07-15	9.5	9.54	9.5	9.54	300	NASDAQ:FCCY
2013-07-16	9.52	9.52	9.52	9.52	100	NASDAQ:FCCY
2013-07-17	9.51	9.51	9.51	9.51	100	NASDAQ:FCCY
2013-07-18	9.89	9.89	9.63	9.63	1900	NASDAQ:FCCY
2013-07-19	9.77	9.77	9.61	9.63	14968	NASDAQ:FCCY
2013-07-22	9.37	9.75	9.37	9.71	13669	NASDAQ:FCCY
2013-07-23	9.72	9.72	9.3	9.49	16400	NASDAQ:FCCY
2013-07-24	9.46	9.6	9.4	9.55	8395	NASDAQ:FCCY
2013-07-25	9.58	9.62	9.58	9.62	347	NASDAQ:FCCY
2013-07-26	9.65	9.66	9.6	9.6	500	NASDAQ:FCCY
2013-07-29	9.51	9.6	9.5	9.6	2209	NASDAQ:FCCY
2013-07-30	9.6	9.6	9.6	9.6	100	NASDAQ:FCCY
2013-08-01	9.56	9.6	9.56	9.6	4996	NASDAQ:FCCY
2013-08-02	9.68	9.75	9.68	9.7	6552	NASDAQ:FCCY
2013-08-06	9.7	9.77	9.7	9.76	3958	NASDAQ:FCCY
2013-08-07	9.8	9.93	9.62	9.79	1600	NASDAQ:FCCY
2013-08-08	9.63	9.75	9.63	9.71	1306	NASDAQ:FCCY
2013-08-09	9.74	9.94	9.74	9.9	2696	NASDAQ:FCCY
2013-08-12	9.95	9.95	9.51	9.65	3100	NASDAQ:FCCY
2013-08-14	9.75	9.75	9.73	9.75	1240	NASDAQ:FCCY
2013-08-15	9.9	10	9.74	9.85	10165	NASDAQ:FCCY
2013-08-16	10.01	10.01	9.9	9.9	6300	NASDAQ:FCCY
2013-08-19	9.81	10.08	9.81	9.86	2144	NASDAQ:FCCY
2013-08-20	10.15	10.36	10.05	10.05	4691	NASDAQ:FCCY
2013-08-21	10.2	10.2	10.11	10.2	12649	NASDAQ:FCCY
2013-08-22	9.84	9.91	9.8	9.91	600	NASDAQ:FCCY
2013-08-23	9.8	10.18	9.8	10.18	1143	NASDAQ:FCCY
2013-08-26	10.16	10.16	10.12	10.16	512	NASDAQ:FCCY
2013-08-29	9.8	9.8	9.8	9.8	200	NASDAQ:FCCY
2013-08-30	9.88	9.88	9.88	9.88	300	NASDAQ:FCCY
2013-09-03	9.95	9.97	9.84	9.85	600	NASDAQ:FCCY
2013-09-04	10	10	9.8	9.94	1277	NASDAQ:FCCY
