date	open	high	low	close	volume	symbol
2013-03-01	23.3	23.98	23.3	23.8	24742	NASDAQ:SRCE
2013-03-04	23.77	24	23.62	23.77	17258	NASDAQ:SRCE
2013-03-05	23.82	24.08	23.52	23.63	25269	NASDAQ:SRCE
2013-03-06	23.58	23.83	23.58	23.6	22590	NASDAQ:SRCE
2013-03-07	23.53	24.05	23.29	23.91	49766	NASDAQ:SRCE
2013-03-08	24.09	24.4	23.75	23.8	27037	NASDAQ:SRCE
2013-03-11	23.66	24	23.66	23.99	17239	NASDAQ:SRCE
2013-03-12	23.87	24.1	23.74	24.05	12570	NASDAQ:SRCE
2013-03-13	23.99	24.5	23.99	24.36	22709	NASDAQ:SRCE
2013-03-14	24.31	24.58	24.25	24.46	25789	NASDAQ:SRCE
2013-03-15	24.52	24.75	24	24.49	85235	NASDAQ:SRCE
2013-03-18	24.22	24.51	24.11	24.12	18765	NASDAQ:SRCE
2013-03-19	23.91	24.34	23.91	24.23	16596	NASDAQ:SRCE
2013-03-20	24.1	24.2	23.96	24.03	35776	NASDAQ:SRCE
2013-03-21	23.81	24.09	23.52	23.95	35145	NASDAQ:SRCE
2013-03-22	24	24.17	23.94	24	22982	NASDAQ:SRCE
2013-03-25	24.02	24.23	24	24.13	34953	NASDAQ:SRCE
2013-03-26	24.29	24.79	24.02	24.03	17629	NASDAQ:SRCE
2013-03-27	23.89	23.99	23.57	23.7	18125	NASDAQ:SRCE
2013-03-28	23.79	23.8	23.49	23.7	36166	NASDAQ:SRCE
2013-04-01	23.26	24.03	23.26	23.66	41369	NASDAQ:SRCE
2013-04-02	23.82	24.01	23.35	23.4	18534	NASDAQ:SRCE
2013-04-03	23.43	23.46	23	23.01	47068	NASDAQ:SRCE
2013-04-04	23.28	23.37	23.02	23.02	14159	NASDAQ:SRCE
2013-04-05	22.65	23.07	22.65	23.02	33685	NASDAQ:SRCE
2013-04-08	23.14	23.47	22.83	23.24	22110	NASDAQ:SRCE
2013-04-09	23.21	23.34	22.82	22.91	32362	NASDAQ:SRCE
2013-04-10	23	23.37	23	23.24	25777	NASDAQ:SRCE
2013-04-11	23.28	23.35	23.11	23.28	12471	NASDAQ:SRCE
2013-04-12	23.3	23.33	23	23.18	28560	NASDAQ:SRCE
2013-04-15	23.04	23.08	22.93	23	44135	NASDAQ:SRCE
